trip_ref,route,direction,stop_code,sequence,scheduled_arrival,actual_arrival
X1-0800,X1,0,X1-01,1,2026-03-02T08:03:00+11:00,2026-03-02T08:03:30+11:00
X1-0800,X1,0,X1-02,2,2026-03-02T08:06:00+11:00,2026-03-02T08:06:45+11:00
X1-0800,X1,0,X1-03,3,2026-03-02T08:09:00+11:00,2026-03-02T08:10:20+11:00
X1-0800,X1,0,X1-04,4,2026-03-02T08:12:00+11:00,2026-03-02T08:14:00+11:00
X1-0800,X1,0,X1-05,5,2026-03-02T08:15:00+11:00,2026-03-02T08:18:20+11:00
X1-0800,X1,0,X1-06,6,2026-03-02T08:18:00+11:00,2026-03-02T08:17:20+11:00
X1-0800,X1,0,X1-07,7,2026-03-02T08:21:00+11:00,2026-03-02T08:26:20+11:00
X1-0800,X1,0,X1-08,8,2026-03-02T08:24:00+11:00,2026-03-02T08:25:30+11:00
X1-0810,X1,5,X1-01,1,2026-03-02T08:10:00+11:00,2026-03-02T08:11:00+11:00
X1-0810,X1,0,X1-02,2,2026-03-02T08:13:00+11:00,2026-03-03T08:13:00+11:00
